都道府県,市区町村,世帯人員,ここまでの合計世帯人員
北海道,札幌市中央区,248680,0
北海道,札幌市北区,289323,248680
北海道,札幌市東区,265379,538003
北海道,札幌市白石区,211835,803382
北海道,札幌市豊平区,225298,1015217
北海道,札幌市南区,135777,1240515
北海道,札幌市西区,217040,1376292
北海道,札幌市厚別区,125083,1593332
北海道,札幌市手稲区,142625,1718415
北海道,札幌市清田区,112355,1861040
北海道,函館市,251084,1973395
北海道,小樽市,111299,2224479
北海道,旭川市,329306,2335778
北海道,室蘭市,82383,2665084
北海道,釧路市,165077,2747467
北海道,帯広市,166536,2912544
北海道,北見市,115480,3079080
北海道,夕張市,7334,3194560
北海道,岩見沢市,79306,3201894
北海道,網走市,35759,3281200
北海道,留萌市,20114,3316959
北海道,苫小牧市,170113,3337073
北海道,稚内市,33563,3507186
北海道,美唄市,20413,3540749
北海道,芦別市,12555,3561162
北海道,江別市,121056,3573717
北海道,赤平市,9698,3694773
北海道,紋別市,21215,3704471
北海道,士別市,17858,3725686
北海道,名寄市,27282,3743544
北海道,三笠市,8040,3770826
北海道,根室市,24636,3778866
北海道,千歳市,97950,3803502
北海道,滝川市,39490,3901452
北海道,砂川市,16486,3940942
北海道,歌志内市,2989,3957428
北海道,深川市,20039,3960417
北海道,富良野市,21131,3980456
北海道,登別市,46391,4001587
北海道,恵庭市,70331,4047978
北海道,伊達市,32826,4118309
北海道,北広島市,58171,4151135
北海道,石狩市,56869,4209306
北海道,北斗市,44302,4266175
青森県,青森市,275192,4310477
青森県,弘前市,168466,4585669
青森県,八戸市,223415,4754135
青森県,黒石市,31946,4977550
青森県,五所川原市,51415,5009496
青森県,十和田市,60378,5060911
青森県,三沢市,39152,5121289
青森県,むつ市,54103,5160441
青森県,つがる市,30934,5214544
青森県,平川市,30567,5245478
岩手県,盛岡市,289731,5276045
岩手県,宮古市,50369,5565776
岩手県,大船渡市,34728,5616145
岩手県,花巻市,93193,5650873
岩手県,北上市,93045,5744066
岩手県,久慈市,33043,5837111
岩手県,遠野市,25366,5870154
岩手県,一関市,111932,5895520
岩手県,陸前高田市,18262,6007452
岩手県,釜石市,32078,6025714
岩手県,二戸市,25513,6057792
岩手県,八幡平市,24023,6083305
岩手県,奥州市,112937,6107328
岩手県,滝沢市,55579,6220265
宮城県,仙台市青葉区,311590,6275844
宮城県,仙台市宮城野区,196732,6587434
宮城県,仙台市若林区,141475,6784166
宮城県,仙台市太白区,234758,6925641
宮城県,仙台市泉区,212149,7160399
宮城県,石巻市,140151,7372548
宮城県,塩竈市,52203,7512699
宮城県,気仙沼市,61147,7564902
宮城県,白石市,32758,7626049
宮城県,名取市,78718,7658807
宮城県,角田市,27976,7737525
宮城県,多賀城市,62827,7765501
宮城県,岩沼市,44068,7828328
宮城県,登米市,76037,7872396
宮城県,栗原市,64637,7948433
宮城県,東松島市,39098,8013070
宮城県,大崎市,127330,8052168
宮城県,富谷市,51651,8179498
秋田県,秋田市,307672,8231149
秋田県,能代市,49968,8538821
秋田県,横手市,85555,8588789
秋田県,大館市,69237,8674344
秋田県,男鹿市,25154,8743581
秋田県,湯沢市,42091,8768735
秋田県,鹿角市,29088,8810826
秋田県,由利本荘市,74707,8839914
秋田県,潟上市,31720,8914621
秋田県,大仙市,77657,8946341
秋田県,北秋田市,30198,9023998
秋田県,にかほ市,23435,9054196
秋田県,仙北市,24610,9077631
山形県,山形市,247590,9102241
山形県,米沢市,81252,9349831
山形県,鶴岡市,122347,9431083
山形県,酒田市,100273,9553430
山形県,新庄市,34432,9653703
山形県,寒河江市,40189,9688135
山形県,上山市,29110,9728324
山形県,村山市,22516,9757434
山形県,長井市,26543,9779950
山形県,天童市,62140,9806493
山形県,東根市,47682,9868633
山形県,尾花沢市,14971,9916315
山形県,南陽市,30420,9931286
福島県,福島市,282693,9961706
福島県,会津若松市,117376,10244399
福島県,郡山市,327692,10361775
福島県,いわき市,332931,10689467
福島県,白河市,59491,11022398
福島県,須賀川市,74992,11081889
福島県,喜多方市,44760,11156881
福島県,相馬市,34865,11201641
福島県,二本松市,53557,11236506
福島県,田村市,35169,11290063
福島県,南相馬市,59005,11325232
福島県,伊達市,58240,11384237
福島県,本宮市,30236,11442477
茨城県,水戸市,270685,11472713
茨城県,日立市,174508,11743398
茨城県,土浦市,142074,11917906
茨城県,古河市,139344,12059980
茨城県,石岡市,73061,12199324
茨城県,結城市,50645,12272385
