市区町村名,大字・丁目名,小字・通称名,緯度,経度
札幌市中央区,大通東四丁目,,43.063031,141.362627
札幌市北区,北九条西三丁目,,43.071724,141.350071
札幌市東区,北三十条東十三丁目,,43.099658,141.365705
札幌市白石区,本通三丁目北,,43.051261,141.409777
札幌市豊平区,月寒東一条十二丁目,,43.023935,141.403442
札幌市南区,真駒内,,42.957256,141.35209
札幌市西区,西野三条四丁目,,43.074205,141.27912
札幌市厚別区,大谷地西一丁目,,43.021923,141.445721
札幌市手稲区,曙四条一丁目,,43.13062,141.240865
札幌市清田区,平岡四条二丁目,,43.005484,141.451638
函館市,花園町,,41.789179,140.783567
小樽市,朝里四丁目,,43.167731,141.093166
旭川市,末広東三条三丁目,,43.798884,142.39386
室蘭市,港北町四丁目,,42.367475,141.000851
釧路市,栄町四丁目,,42.984148,144.387697
帯広市,西十七条南四十丁目,,42.882734,143.180122
北見市,清月町,,43.800186,143.904391
夕張市,真谷地,,42.969447,142.059027
岩見沢市,幌向南一条四丁目,,43.149009,141.653507
網走市,字潮見,,43.991093,144.239894
留萌市,幸町一丁目,,43.94105,141.63735
苫小牧市,ときわ町四丁目,,42.615585,141.512137
稚内市,朝日六丁目,,45.381591,141.70152
美唄市,西五条北一丁目,,43.335243,141.848554
芦別市,常磐町,,43.542665,142.162825
江別市,角山,,43.121951,141.492222
赤平市,住吉町,,43.559416,142.00451
紋別市,花園町一丁目,,44.352576,143.351103
士別市,東三条七丁目,,44.175463,142.398069
名寄市,西三条南三丁目,,44.353412,142.459242
三笠市,萱野,,43.22883,141.821304
根室市,花咲町二丁目,,43.335204,145.582333
千歳市,幸町二丁目,,42.822959,141.647006
滝川市,東滝川,,43.567942,141.961209
砂川市,西二条北二十二丁目,,43.522126,141.914106
歌志内市,字上歌,,43.522208,142.05133
深川市,音江町,,43.701401,142.046174
富良野市,桂木町,,43.350349,142.379487
登別市,幸町六丁目,,42.431581,141.14057
恵庭市,島松本町一丁目,,42.921695,141.575569
伊達市,保原町,旭町,37.819787,140.547358
北広島市,島松,,42.935199,141.496694
石狩市,樽川五条二丁目,,43.152394,141.28345
北斗市,七重浜二丁目,,41.814422,140.713015
青森市,大字大野,前田,40.801532,140.736569
弘前市,大字津賀野,岡本,40.637569,140.495961
八戸市,大字櫛引,烏沢,40.478805,141.427805
黒石市,北美町一丁目,,40.653985,140.602315
五所川原市,大字七ツ館,虫流,40.777822,140.481762
十和田市,大字相坂,小林,40.597655,141.231918
三沢市,塩釜一丁目,,40.79885,141.398734
むつ市,大畑町,湯坂下,41.406118,141.157762
つがる市,柏玉水,,40.813581,140.404436
平川市,本町,南柳田,40.58078,140.557453
盛岡市,下飯岡,十五地割,39.661186,141.12488
